epoch,rmse
1.000000000000000000e+00,7.056060433387756348e-01
2.000000000000000000e+00,7.036686539649963379e-01
3.000000000000000000e+00,7.005760669708251953e-01
4.000000000000000000e+00,6.961011886596679688e-01
5.000000000000000000e+00,6.902253031730651855e-01
6.000000000000000000e+00,6.830574274063110352e-01
7.000000000000000000e+00,6.747726202011108398e-01
8.000000000000000000e+00,6.658357977867126465e-01
9.000000000000000000e+00,6.564763784408569336e-01
1.000000000000000000e+01,6.472047567367553711e-01
1.100000000000000000e+01,6.384268999099731445e-01
1.200000000000000000e+01,6.302129626274108887e-01
1.300000000000000000e+01,6.230458021163940430e-01
1.400000000000000000e+01,6.170873045921325684e-01
1.500000000000000000e+01,6.122872829437255859e-01
1.600000000000000000e+01,6.085433959960937500e-01
1.700000000000000000e+01,6.058409810066223145e-01
1.800000000000000000e+01,6.040633320808410645e-01
1.900000000000000000e+01,6.027964949607849121e-01
2.000000000000000000e+01,6.019735336303710938e-01
2.100000000000000000e+01,6.014921665191650391e-01
2.200000000000000000e+01,6.011895537376403809e-01
2.300000000000000000e+01,6.010288000106811523e-01
2.400000000000000000e+01,6.009386777877807617e-01
2.500000000000000000e+01,6.008617877960205078e-01
2.600000000000000000e+01,6.008427143096923828e-01
2.700000000000000000e+01,6.008155941963195801e-01
2.800000000000000000e+01,6.008116006851196289e-01
2.900000000000000000e+01,6.007804870605468750e-01
3.000000000000000000e+01,6.007729768753051758e-01
