epoch,rmse
1.000000000000000000e+00,4.992645263671875000e+00
2.000000000000000000e+00,4.384604930877685547e+00
3.000000000000000000e+00,3.777788162231445312e+00
4.000000000000000000e+00,3.172897338867187500e+00
5.000000000000000000e+00,2.571308612823486328e+00
6.000000000000000000e+00,1.976051330566406250e+00
7.000000000000000000e+00,1.395193219184875488e+00
8.000000000000000000e+00,8.584052920341491699e-01
9.000000000000000000e+00,5.242065191268920898e-01
1.000000000000000000e+01,5.174258947372436523e-01
1.100000000000000000e+01,5.159040689468383789e-01
1.200000000000000000e+01,5.151617527008056641e-01
1.300000000000000000e+01,5.129951238632202148e-01
1.400000000000000000e+01,5.118772983551025391e-01
1.500000000000000000e+01,5.105887651443481445e-01
1.600000000000000000e+01,5.097320079803466797e-01
1.700000000000000000e+01,5.084505081176757812e-01
1.800000000000000000e+01,5.076938867568969727e-01
1.900000000000000000e+01,5.076335668563842773e-01
2.000000000000000000e+01,5.060070157051086426e-01
2.100000000000000000e+01,5.052816867828369141e-01
2.200000000000000000e+01,5.055763721466064453e-01
2.300000000000000000e+01,5.041008591651916504e-01
2.400000000000000000e+01,5.037339925765991211e-01
2.500000000000000000e+01,5.035483241081237793e-01
2.600000000000000000e+01,5.024445652961730957e-01
2.700000000000000000e+01,5.022286176681518555e-01
2.800000000000000000e+01,5.013462901115417480e-01
2.900000000000000000e+01,5.009407997131347656e-01
3.000000000000000000e+01,5.005214810371398926e-01
