epoch,rmse
1.000000000000000000e+00,2.809344768524169922e+00
2.000000000000000000e+00,2.209930419921875000e+00
3.000000000000000000e+00,1.619814634323120117e+00
4.000000000000000000e+00,1.054788112640380859e+00
5.000000000000000000e+00,5.916728973388671875e-01
6.000000000000000000e+00,5.002605319023132324e-01
7.000000000000000000e+00,4.985497593879699707e-01
8.000000000000000000e+00,4.981690347194671631e-01
9.000000000000000000e+00,4.981899261474609375e-01
1.000000000000000000e+01,4.976675510406494141e-01
1.100000000000000000e+01,4.979561567306518555e-01
1.200000000000000000e+01,4.981271028518676758e-01
1.300000000000000000e+01,4.968414306640625000e-01
1.400000000000000000e+01,4.966925978660583496e-01
1.500000000000000000e+01,4.968897700309753418e-01
1.600000000000000000e+01,4.962818026542663574e-01
1.700000000000000000e+01,4.961020648479461670e-01
1.800000000000000000e+01,4.970902204513549805e-01
1.900000000000000000e+01,4.957863092422485352e-01
2.000000000000000000e+01,4.960653483867645264e-01
2.100000000000000000e+01,4.961657524108886719e-01
2.200000000000000000e+01,4.956055581569671631e-01
2.300000000000000000e+01,4.955931603908538818e-01
2.400000000000000000e+01,4.954649209976196289e-01
2.500000000000000000e+01,4.951753020286560059e-01
2.600000000000000000e+01,4.950810670852661133e-01
2.700000000000000000e+01,4.954423308372497559e-01
2.800000000000000000e+01,4.950009584426879883e-01
2.900000000000000000e+01,4.955772459506988525e-01
3.000000000000000000e+01,4.950494766235351562e-01
