epoch,rmse
1.000000000000000000e+00,3.193164348602294922e+00
2.000000000000000000e+00,2.590466737747192383e+00
3.000000000000000000e+00,1.993341803550720215e+00
4.000000000000000000e+00,1.408891201019287109e+00
5.000000000000000000e+00,8.632887601852416992e-01
6.000000000000000000e+00,5.043010711669921875e-01
7.000000000000000000e+00,4.950294196605682373e-01
8.000000000000000000e+00,4.949869811534881592e-01
9.000000000000000000e+00,4.949012994766235352e-01
1.000000000000000000e+01,4.947968125343322754e-01
1.100000000000000000e+01,4.949520230293273926e-01
1.200000000000000000e+01,4.950313568115234375e-01
1.300000000000000000e+01,4.946384727954864502e-01
1.400000000000000000e+01,4.945679306983947754e-01
1.500000000000000000e+01,4.949311017990112305e-01
1.600000000000000000e+01,4.944933056831359863e-01
1.700000000000000000e+01,4.944509565830230713e-01
1.800000000000000000e+01,4.945007562637329102e-01
1.900000000000000000e+01,4.943895041942596436e-01
2.000000000000000000e+01,4.945321381092071533e-01
2.100000000000000000e+01,4.945427477359771729e-01
2.200000000000000000e+01,4.946433007717132568e-01
2.300000000000000000e+01,4.944177269935607910e-01
2.400000000000000000e+01,4.942861795425415039e-01
2.500000000000000000e+01,4.953320622444152832e-01
2.600000000000000000e+01,4.946016967296600342e-01
2.700000000000000000e+01,4.943588972091674805e-01
2.800000000000000000e+01,4.943782091140747070e-01
2.900000000000000000e+01,4.942051768302917480e-01
3.000000000000000000e+01,4.942678213119506836e-01
