epoch,rmse
1.000000000000000000e+00,7.056540250778198242e-01
2.000000000000000000e+00,7.037415504455566406e-01
3.000000000000000000e+00,7.005749940872192383e-01
4.000000000000000000e+00,6.959018707275390625e-01
5.000000000000000000e+00,6.897108554840087891e-01
6.000000000000000000e+00,6.822525858879089355e-01
7.000000000000000000e+00,6.737987995147705078e-01
8.000000000000000000e+00,6.647742986679077148e-01
9.000000000000000000e+00,6.554408669471740723e-01
1.000000000000000000e+01,6.461384296417236328e-01
1.100000000000000000e+01,6.373417377471923828e-01
1.200000000000000000e+01,6.292978525161743164e-01
1.300000000000000000e+01,6.222732067108154297e-01
1.400000000000000000e+01,6.163398027420043945e-01
1.500000000000000000e+01,6.116893291473388672e-01
1.600000000000000000e+01,6.080580353736877441e-01
1.700000000000000000e+01,6.055988073348999023e-01
1.800000000000000000e+01,6.038492321968078613e-01
1.900000000000000000e+01,6.027007699012756348e-01
2.000000000000000000e+01,6.019527912139892578e-01
2.100000000000000000e+01,6.015212535858154297e-01
2.200000000000000000e+01,6.012624502182006836e-01
2.300000000000000000e+01,6.011153459548950195e-01
2.400000000000000000e+01,6.010125875473022461e-01
2.500000000000000000e+01,6.009615659713745117e-01
2.600000000000000000e+01,6.009164452552795410e-01
2.700000000000000000e+01,6.009178161621093750e-01
2.800000000000000000e+01,6.009068489074707031e-01
2.900000000000000000e+01,6.008918881416320801e-01
3.000000000000000000e+01,6.008688807487487793e-01
