epoch,rmse
1.000000000000000000e+00,7.058010101318359375e-01
2.000000000000000000e+00,7.039121389389038086e-01
3.000000000000000000e+00,7.007803916931152344e-01
4.000000000000000000e+00,6.961568593978881836e-01
5.000000000000000000e+00,6.899985671043395996e-01
6.000000000000000000e+00,6.824853420257568359e-01
7.000000000000000000e+00,6.738676428794860840e-01
8.000000000000000000e+00,6.645572185516357422e-01
9.000000000000000000e+00,6.549208760261535645e-01
1.000000000000000000e+01,6.455326080322265625e-01
1.100000000000000000e+01,6.365516185760498047e-01
1.200000000000000000e+01,6.282920837402343750e-01
1.300000000000000000e+01,6.213086843490600586e-01
1.400000000000000000e+01,6.155001521110534668e-01
1.500000000000000000e+01,6.109000444412231445e-01
1.600000000000000000e+01,6.074974536895751953e-01
1.700000000000000000e+01,6.050658226013183594e-01
1.800000000000000000e+01,6.034548878669738770e-01
1.900000000000000000e+01,6.024388670921325684e-01
2.000000000000000000e+01,6.017696857452392578e-01
2.100000000000000000e+01,6.013767719268798828e-01
2.200000000000000000e+01,6.011179685592651367e-01
2.300000000000000000e+01,6.009933948516845703e-01
2.400000000000000000e+01,6.009168624877929688e-01
2.500000000000000000e+01,6.008585691452026367e-01
2.600000000000000000e+01,6.008440256118774414e-01
2.700000000000000000e+01,6.008139848709106445e-01
2.800000000000000000e+01,6.008003950119018555e-01
2.900000000000000000e+01,6.008067131042480469e-01
3.000000000000000000e+01,6.008127331733703613e-01
