epoch,rmse
1.000000000000000000e+00,1.173422813415527344e+00
2.000000000000000000e+00,6.712899208068847656e-01
3.000000000000000000e+00,4.992102980613708496e-01
4.000000000000000000e+00,4.972076416015625000e-01
5.000000000000000000e+00,4.973936676979064941e-01
6.000000000000000000e+00,4.967664778232574463e-01
7.000000000000000000e+00,4.966339468955993652e-01
8.000000000000000000e+00,4.963286519050598145e-01
9.000000000000000000e+00,4.964058101177215576e-01
1.000000000000000000e+01,4.961560368537902832e-01
1.100000000000000000e+01,4.967924654483795166e-01
1.200000000000000000e+01,4.962777495384216309e-01
1.300000000000000000e+01,4.959764480590820312e-01
1.400000000000000000e+01,4.954818785190582275e-01
1.500000000000000000e+01,4.955564141273498535e-01
1.600000000000000000e+01,4.952210783958435059e-01
1.700000000000000000e+01,4.958963990211486816e-01
1.800000000000000000e+01,4.950555264949798584e-01
1.900000000000000000e+01,4.949670135974884033e-01
2.000000000000000000e+01,4.948944449424743652e-01
2.100000000000000000e+01,4.950131177902221680e-01
2.200000000000000000e+01,4.948277175426483154e-01
2.300000000000000000e+01,4.948369264602661133e-01
2.400000000000000000e+01,4.948513805866241455e-01
2.500000000000000000e+01,4.946268200874328613e-01
2.600000000000000000e+01,4.945673644542694092e-01
2.700000000000000000e+01,4.947488307952880859e-01
2.800000000000000000e+01,4.947074353694915771e-01
2.900000000000000000e+01,4.944398403167724609e-01
3.000000000000000000e+01,4.943952858448028564e-01
