epoch,rmse
1.000000000000000000e+00,7.057081460952758789e-01
2.000000000000000000e+00,7.038574218750000000e-01
3.000000000000000000e+00,7.007992267608642578e-01
4.000000000000000000e+00,6.963552236557006836e-01
5.000000000000000000e+00,6.905250549316406250e-01
6.000000000000000000e+00,6.835259199142456055e-01
7.000000000000000000e+00,6.755207777023315430e-01
8.000000000000000000e+00,6.668553352355957031e-01
9.000000000000000000e+00,6.578068137168884277e-01
1.000000000000000000e+01,6.487777233123779297e-01
1.100000000000000000e+01,6.400308609008789062e-01
1.200000000000000000e+01,6.319995522499084473e-01
1.300000000000000000e+01,6.248648166656494141e-01
1.400000000000000000e+01,6.187905669212341309e-01
1.500000000000000000e+01,6.137740015983581543e-01
1.600000000000000000e+01,6.099370718002319336e-01
1.700000000000000000e+01,6.070168018341064453e-01
1.800000000000000000e+01,6.049546599388122559e-01
1.900000000000000000e+01,6.035380959510803223e-01
2.000000000000000000e+01,6.026544570922851562e-01
2.100000000000000000e+01,6.020575165748596191e-01
2.200000000000000000e+01,6.016768217086791992e-01
2.300000000000000000e+01,6.014173030853271484e-01
2.400000000000000000e+01,6.012825965881347656e-01
2.500000000000000000e+01,6.011940240859985352e-01
2.600000000000000000e+01,6.011315584182739258e-01
2.700000000000000000e+01,6.010765433311462402e-01
2.800000000000000000e+01,6.010445356369018555e-01
2.900000000000000000e+01,6.010073423385620117e-01
3.000000000000000000e+01,6.010034680366516113e-01
