epoch,rmse
1.000000000000000000e+00,2.161268234252929688e+00
2.000000000000000000e+00,1.571978926658630371e+00
3.000000000000000000e+00,1.009874224662780762e+00
4.000000000000000000e+00,5.635294914245605469e-01
5.000000000000000000e+00,4.959508776664733887e-01
6.000000000000000000e+00,4.960876703262329102e-01
7.000000000000000000e+00,4.956010878086090088e-01
8.000000000000000000e+00,4.957287907600402832e-01
9.000000000000000000e+00,4.953741133213043213e-01
1.000000000000000000e+01,4.956421852111816406e-01
1.100000000000000000e+01,4.951763749122619629e-01
1.200000000000000000e+01,4.955074787139892578e-01
1.300000000000000000e+01,4.950203597545623779e-01
1.400000000000000000e+01,4.951669573783874512e-01
1.500000000000000000e+01,4.948576986789703369e-01
1.600000000000000000e+01,4.950952231884002686e-01
1.700000000000000000e+01,4.950764775276184082e-01
1.800000000000000000e+01,4.947038292884826660e-01
1.900000000000000000e+01,4.948261678218841553e-01
2.000000000000000000e+01,4.955274164676666260e-01
2.100000000000000000e+01,4.945542812347412109e-01
2.200000000000000000e+01,4.946339726448059082e-01
2.300000000000000000e+01,4.948659539222717285e-01
2.400000000000000000e+01,4.945795834064483643e-01
2.500000000000000000e+01,4.946535825729370117e-01
2.600000000000000000e+01,4.950103759765625000e-01
2.700000000000000000e+01,4.944288134574890137e-01
2.800000000000000000e+01,4.952515959739685059e-01
2.900000000000000000e+01,4.943756461143493652e-01
3.000000000000000000e+01,4.944652915000915527e-01
