epoch,rmse
1.000000000000000000e+00,7.058843374252319336e-01
2.000000000000000000e+00,7.041147351264953613e-01
3.000000000000000000e+00,7.011076211929321289e-01
4.000000000000000000e+00,6.964941024780273438e-01
5.000000000000000000e+00,6.902742385864257812e-01
6.000000000000000000e+00,6.826807260513305664e-01
7.000000000000000000e+00,6.741051673889160156e-01
8.000000000000000000e+00,6.648682355880737305e-01
9.000000000000000000e+00,6.553281545639038086e-01
1.000000000000000000e+01,6.459388136863708496e-01
1.100000000000000000e+01,6.370526552200317383e-01
1.200000000000000000e+01,6.289659738540649414e-01
1.300000000000000000e+01,6.219248771667480469e-01
1.400000000000000000e+01,6.160238385200500488e-01
1.500000000000000000e+01,6.113480329513549805e-01
1.600000000000000000e+01,6.078091263771057129e-01
1.700000000000000000e+01,6.052824258804321289e-01
1.800000000000000000e+01,6.036037206649780273e-01
1.900000000000000000e+01,6.025196313858032227e-01
2.000000000000000000e+01,6.017423868179321289e-01
2.100000000000000000e+01,6.013370752334594727e-01
2.200000000000000000e+01,6.011095643043518066e-01
2.300000000000000000e+01,6.009511947631835938e-01
2.400000000000000000e+01,6.008650064468383789e-01
2.500000000000000000e+01,6.008068919181823730e-01
2.600000000000000000e+01,6.007710099220275879e-01
2.700000000000000000e+01,6.007556915283203125e-01
2.800000000000000000e+01,6.007426977157592773e-01
2.900000000000000000e+01,6.007356643676757812e-01
3.000000000000000000e+01,6.007338762283325195e-01
