epoch,rmse
1.000000000000000000e+00,7.057547569274902344e-01
2.000000000000000000e+00,7.037754058837890625e-01
3.000000000000000000e+00,7.003497481346130371e-01
4.000000000000000000e+00,6.951989531517028809e-01
5.000000000000000000e+00,6.883711218833923340e-01
6.000000000000000000e+00,6.802090406417846680e-01
7.000000000000000000e+00,6.709907054901123047e-01
8.000000000000000000e+00,6.612302064895629883e-01
9.000000000000000000e+00,6.512296795845031738e-01
1.000000000000000000e+01,6.416021585464477539e-01
1.100000000000000000e+01,6.327897310256958008e-01
1.200000000000000000e+01,6.250246763229370117e-01
1.300000000000000000e+01,6.185795664787292480e-01
1.400000000000000000e+01,6.134093999862670898e-01
1.500000000000000000e+01,6.095627546310424805e-01
1.600000000000000000e+01,6.067875027656555176e-01
1.700000000000000000e+01,6.048274040222167969e-01
1.800000000000000000e+01,6.036046743392944336e-01
1.900000000000000000e+01,6.028176546096801758e-01
2.000000000000000000e+01,6.022641062736511230e-01
2.100000000000000000e+01,6.019254922866821289e-01
2.200000000000000000e+01,6.017053127288818359e-01
2.300000000000000000e+01,6.015301942825317383e-01
2.400000000000000000e+01,6.014086604118347168e-01
2.500000000000000000e+01,6.013075113296508789e-01
2.600000000000000000e+01,6.012325286865234375e-01
2.700000000000000000e+01,6.011611223220825195e-01
2.800000000000000000e+01,6.011013984680175781e-01
2.900000000000000000e+01,6.010544300079345703e-01
3.000000000000000000e+01,6.010214686393737793e-01
