epoch,rmse
1.000000000000000000e+00,7.057070136070251465e-01
2.000000000000000000e+00,7.037714719772338867e-01
3.000000000000000000e+00,7.006592750549316406e-01
4.000000000000000000e+00,6.961794495582580566e-01
5.000000000000000000e+00,6.903179287910461426e-01
6.000000000000000000e+00,6.832737922668457031e-01
7.000000000000000000e+00,6.752616763114929199e-01
8.000000000000000000e+00,6.665583848953247070e-01
9.000000000000000000e+00,6.575385928153991699e-01
1.000000000000000000e+01,6.483948826789855957e-01
1.100000000000000000e+01,6.397708058357238770e-01
1.200000000000000000e+01,6.316363215446472168e-01
1.300000000000000000e+01,6.245342493057250977e-01
1.400000000000000000e+01,6.184158325195312500e-01
1.500000000000000000e+01,6.134375929832458496e-01
1.600000000000000000e+01,6.096614599227905273e-01
1.700000000000000000e+01,6.067495346069335938e-01
1.800000000000000000e+01,6.046891212463378906e-01
1.900000000000000000e+01,6.033127307891845703e-01
2.000000000000000000e+01,6.024262905120849609e-01
2.100000000000000000e+01,6.018214225769042969e-01
2.200000000000000000e+01,6.014661192893981934e-01
2.300000000000000000e+01,6.012656688690185547e-01
2.400000000000000000e+01,6.011421680450439453e-01
2.500000000000000000e+01,6.010573506355285645e-01
2.600000000000000000e+01,6.010002493858337402e-01
2.700000000000000000e+01,6.009826660156250000e-01
2.800000000000000000e+01,6.009526848793029785e-01
2.900000000000000000e+01,6.009367704391479492e-01
3.000000000000000000e+01,6.009194254875183105e-01
