epoch,accuracy
1.000000000000000000e+00,3.472500000000000031e-01
2.000000000000000000e+00,4.314999999999999947e-01
3.000000000000000000e+00,5.010000000000000009e-01
4.000000000000000000e+00,5.233333333333333171e-01
5.000000000000000000e+00,5.387499999999999512e-01
6.000000000000000000e+00,5.536666666666666403e-01
7.000000000000000000e+00,5.635833333333333250e-01
8.000000000000000000e+00,5.769166666666666332e-01
9.000000000000000000e+00,5.891666666666666163e-01
1.000000000000000000e+01,6.025000000000000355e-01
1.100000000000000000e+01,6.099166666666666625e-01
1.200000000000000000e+01,6.193333333333332913e-01
1.300000000000000000e+01,6.280000000000000027e-01
1.400000000000000000e+01,6.327500000000000346e-01
1.500000000000000000e+01,6.390000000000000124e-01
1.600000000000000000e+01,6.453333333333333144e-01
1.700000000000000000e+01,6.529166666666667007e-01
1.800000000000000000e+01,6.585833333333332984e-01
1.900000000000000000e+01,6.624999999999999778e-01
2.000000000000000000e+01,6.710000000000000409e-01
