epoch,accuracy
1.000000000000000000e+00,3.190000000000000058e-01
2.000000000000000000e+00,4.080833333333333535e-01
3.000000000000000000e+00,4.497499999999999831e-01
4.000000000000000000e+00,4.839999999999999858e-01
5.000000000000000000e+00,5.127500000000000391e-01
6.000000000000000000e+00,5.280000000000000249e-01
7.000000000000000000e+00,5.392500000000000071e-01
8.000000000000000000e+00,5.538333333333332886e-01
9.000000000000000000e+00,5.602500000000000258e-01
1.000000000000000000e+01,5.658333333333332993e-01
1.100000000000000000e+01,5.761666666666667158e-01
1.200000000000000000e+01,5.859166666666666412e-01
1.300000000000000000e+01,5.923333333333333783e-01
1.400000000000000000e+01,5.978333333333333277e-01
1.500000000000000000e+01,6.065000000000000391e-01
1.600000000000000000e+01,6.207500000000000240e-01
1.700000000000000000e+01,6.310833333333333295e-01
1.800000000000000000e+01,6.390833333333333366e-01
1.900000000000000000e+01,6.451666666666666661e-01
2.000000000000000000e+01,6.516666666666666163e-01
