epoch,accuracy
1.000000000000000000e+00,2.475833333333333219e-01
2.000000000000000000e+00,4.117500000000000049e-01
3.000000000000000000e+00,4.616666666666666696e-01
4.000000000000000000e+00,5.082499999999999796e-01
5.000000000000000000e+00,5.494999999999999885e-01
6.000000000000000000e+00,5.769166666666666332e-01
7.000000000000000000e+00,6.001666666666666261e-01
8.000000000000000000e+00,6.221666666666666456e-01
9.000000000000000000e+00,6.474166666666666403e-01
1.000000000000000000e+01,6.670000000000000373e-01
1.100000000000000000e+01,6.810000000000000497e-01
1.200000000000000000e+01,6.909999999999999476e-01
1.300000000000000000e+01,6.995833333333333348e-01
1.400000000000000000e+01,7.036666666666666625e-01
1.500000000000000000e+01,7.095833333333333437e-01
1.600000000000000000e+01,7.142500000000000515e-01
1.700000000000000000e+01,7.188333333333333242e-01
1.800000000000000000e+01,7.249999999999999778e-01
1.900000000000000000e+01,7.277500000000000080e-01
2.000000000000000000e+01,7.315000000000000391e-01
