epoch,accuracy
1.000000000000000000e+00,2.366666666666666641e-01
2.000000000000000000e+00,3.744999999999999996e-01
3.000000000000000000e+00,4.350833333333333219e-01
4.000000000000000000e+00,4.755833333333333579e-01
5.000000000000000000e+00,5.084999999999999520e-01
6.000000000000000000e+00,5.348333333333333828e-01
7.000000000000000000e+00,5.603333333333333499e-01
8.000000000000000000e+00,5.800833333333332842e-01
9.000000000000000000e+00,6.025833333333333597e-01
1.000000000000000000e+01,6.199166666666666714e-01
1.100000000000000000e+01,6.300000000000000044e-01
1.200000000000000000e+01,6.422499999999999876e-01
1.300000000000000000e+01,6.500833333333333464e-01
1.400000000000000000e+01,6.586666666666666226e-01
1.500000000000000000e+01,6.665833333333333055e-01
1.600000000000000000e+01,6.754166666666666652e-01
1.700000000000000000e+01,6.824166666666666714e-01
1.800000000000000000e+01,6.911666666666667069e-01
1.900000000000000000e+01,6.970833333333333881e-01
2.000000000000000000e+01,6.994166666666666865e-01
