epoch,accuracy
1.000000000000000000e+00,2.808333333333333237e-01
2.000000000000000000e+00,3.709166666666666723e-01
3.000000000000000000e+00,4.141666666666666829e-01
4.000000000000000000e+00,4.408333333333333548e-01
5.000000000000000000e+00,4.641666666666666718e-01
6.000000000000000000e+00,5.030833333333333268e-01
7.000000000000000000e+00,5.270833333333333481e-01
8.000000000000000000e+00,5.513333333333333419e-01
9.000000000000000000e+00,5.697499999999999787e-01
1.000000000000000000e+01,5.849166666666666403e-01
1.100000000000000000e+01,5.954166666666667052e-01
1.200000000000000000e+01,6.055000000000000382e-01
1.300000000000000000e+01,6.126666666666666927e-01
1.400000000000000000e+01,6.172499999999999654e-01
1.500000000000000000e+01,6.210833333333333206e-01
1.600000000000000000e+01,6.294999999999999485e-01
1.700000000000000000e+01,6.354166666666666297e-01
1.800000000000000000e+01,6.477500000000000480e-01
1.900000000000000000e+01,6.635833333333333028e-01
2.000000000000000000e+01,6.755833333333333135e-01
