epoch,accuracy
1.000000000000000000e+00,3.030833333333333157e-01
2.000000000000000000e+00,3.836666666666666559e-01
3.000000000000000000e+00,4.421666666666666523e-01
4.000000000000000000e+00,5.100833333333333330e-01
5.000000000000000000e+00,5.426666666666666305e-01
6.000000000000000000e+00,5.642500000000000293e-01
7.000000000000000000e+00,5.795000000000000151e-01
8.000000000000000000e+00,5.943333333333333801e-01
9.000000000000000000e+00,6.046666666666666856e-01
1.000000000000000000e+01,6.098333333333333384e-01
1.100000000000000000e+01,6.157500000000000195e-01
1.200000000000000000e+01,6.183333333333332904e-01
1.300000000000000000e+01,6.270833333333333259e-01
1.400000000000000000e+01,6.334166666666666279e-01
1.500000000000000000e+01,6.384166666666666323e-01
1.600000000000000000e+01,6.424166666666666359e-01
1.700000000000000000e+01,6.477500000000000480e-01
1.800000000000000000e+01,6.509166666666666989e-01
1.900000000000000000e+01,6.540833333333333499e-01
2.000000000000000000e+01,6.540833333333333499e-01
