epoch,accuracy
1.000000000000000000e+00,2.598333333333333606e-01
2.000000000000000000e+00,3.765000000000000013e-01
3.000000000000000000e+00,4.119999999999999774e-01
4.000000000000000000e+00,4.322500000000000231e-01
5.000000000000000000e+00,4.480833333333333335e-01
6.000000000000000000e+00,4.707500000000000018e-01
7.000000000000000000e+00,4.954999999999999960e-01
8.000000000000000000e+00,5.138333333333333641e-01
9.000000000000000000e+00,5.365833333333333011e-01
1.000000000000000000e+01,5.538333333333332886e-01
1.100000000000000000e+01,5.625000000000000000e-01
1.200000000000000000e+01,5.738333333333333064e-01
1.300000000000000000e+01,5.749166666666666314e-01
1.400000000000000000e+01,5.804166666666666918e-01
1.500000000000000000e+01,5.866666666666666696e-01
1.600000000000000000e+01,5.900833333333332931e-01
1.700000000000000000e+01,5.935000000000000275e-01
1.800000000000000000e+01,5.999999999999999778e-01
1.900000000000000000e+01,6.049166666666666581e-01
2.000000000000000000e+01,6.055833333333333623e-01
