epoch,accuracy
1.000000000000000000e+00,2.991666666666666918e-01
2.000000000000000000e+00,3.812499999999999778e-01
3.000000000000000000e+00,4.556666666666666643e-01
4.000000000000000000e+00,4.825833333333333086e-01
5.000000000000000000e+00,5.087500000000000355e-01
6.000000000000000000e+00,5.384999999999999787e-01
7.000000000000000000e+00,5.565833333333333188e-01
8.000000000000000000e+00,5.736666666666666581e-01
9.000000000000000000e+00,5.852500000000000480e-01
1.000000000000000000e+01,5.970833333333332993e-01
1.100000000000000000e+01,6.089999999999999858e-01
1.200000000000000000e+01,6.173333333333332895e-01
1.300000000000000000e+01,6.263333333333332975e-01
1.400000000000000000e+01,6.325833333333333863e-01
1.500000000000000000e+01,6.378333333333333632e-01
1.600000000000000000e+01,6.466666666666666119e-01
1.700000000000000000e+01,6.498333333333333739e-01
1.800000000000000000e+01,6.598333333333333828e-01
1.900000000000000000e+01,6.674166666666666581e-01
2.000000000000000000e+01,6.703333333333333366e-01
