epoch,accuracy
1.000000000000000000e+00,2.639166666666666883e-01
2.000000000000000000e+00,3.493333333333333290e-01
3.000000000000000000e+00,4.349166666666666736e-01
4.000000000000000000e+00,4.625833333333333464e-01
5.000000000000000000e+00,4.868333333333333401e-01
6.000000000000000000e+00,5.060000000000000053e-01
7.000000000000000000e+00,5.227500000000000480e-01
8.000000000000000000e+00,5.325833333333332975e-01
9.000000000000000000e+00,5.508333333333332860e-01
1.000000000000000000e+01,5.603333333333333499e-01
1.100000000000000000e+01,5.705000000000000071e-01
1.200000000000000000e+01,5.791666666666667185e-01
1.300000000000000000e+01,5.815000000000000169e-01
1.400000000000000000e+01,5.896666666666666723e-01
1.500000000000000000e+01,5.974166666666667069e-01
1.600000000000000000e+01,6.057500000000000107e-01
1.700000000000000000e+01,6.169166666666666687e-01
1.800000000000000000e+01,6.297500000000000320e-01
1.900000000000000000e+01,6.350000000000000089e-01
2.000000000000000000e+01,6.455833333333332869e-01
