epoch,accuracy
1.000000000000000000e+00,2.285000000000000087e-01
2.000000000000000000e+00,3.278333333333333099e-01
3.000000000000000000e+00,4.589166666666666394e-01
4.000000000000000000e+00,5.174999999999999600e-01
5.000000000000000000e+00,5.498333333333332851e-01
6.000000000000000000e+00,5.734166666666666856e-01
7.000000000000000000e+00,5.929166666666666474e-01
8.000000000000000000e+00,6.067500000000000115e-01
9.000000000000000000e+00,6.191666666666666430e-01
1.000000000000000000e+01,6.280000000000000027e-01
1.100000000000000000e+01,6.342499999999999805e-01
1.200000000000000000e+01,6.391666666666666607e-01
1.300000000000000000e+01,6.466666666666666119e-01
1.400000000000000000e+01,6.521666666666666723e-01
1.500000000000000000e+01,6.581666666666666776e-01
1.600000000000000000e+01,6.637499999999999512e-01
1.700000000000000000e+01,6.638333333333333863e-01
1.800000000000000000e+01,6.681666666666666865e-01
1.900000000000000000e+01,6.690833333333333632e-01
2.000000000000000000e+01,6.730000000000000426e-01
