epoch,accuracy
1.000000000000000000e+00,4.238333333333333397e-01
2.000000000000000000e+00,5.430833333333333623e-01
3.000000000000000000e+00,6.099166666666666625e-01
4.000000000000000000e+00,6.497500000000000497e-01
5.000000000000000000e+00,7.065000000000000169e-01
6.000000000000000000e+00,7.338333333333333375e-01
7.000000000000000000e+00,7.415833333333333721e-01
8.000000000000000000e+00,7.531666666666666510e-01
9.000000000000000000e+00,7.539166666666666794e-01
1.000000000000000000e+01,7.584999999999999520e-01
1.100000000000000000e+01,7.627500000000000391e-01
1.200000000000000000e+01,7.679166666666666918e-01
1.300000000000000000e+01,7.708333333333333703e-01
1.400000000000000000e+01,7.730000000000000204e-01
1.500000000000000000e+01,7.729166666666666963e-01
1.600000000000000000e+01,7.827499999999999458e-01
1.700000000000000000e+01,7.863333333333333286e-01
1.800000000000000000e+01,7.920000000000000373e-01
1.900000000000000000e+01,7.980833333333333668e-01
2.000000000000000000e+01,7.994166666666666643e-01
