epoch,accuracy
1.000000000000000000e+00,5.930833333333332957e-01
2.000000000000000000e+00,6.571666666666666767e-01
3.000000000000000000e+00,7.115000000000000213e-01
4.000000000000000000e+00,7.439166666666666705e-01
5.000000000000000000e+00,7.609166666666666856e-01
6.000000000000000000e+00,7.752499999999999947e-01
7.000000000000000000e+00,7.798333333333333783e-01
8.000000000000000000e+00,7.911666666666666847e-01
9.000000000000000000e+00,7.947499999999999565e-01
1.000000000000000000e+01,8.004166666666666652e-01
1.100000000000000000e+01,8.046666666666666412e-01
1.200000000000000000e+01,8.083333333333333481e-01
1.300000000000000000e+01,8.102500000000000258e-01
1.400000000000000000e+01,8.134166666666666767e-01
1.500000000000000000e+01,8.170833333333333837e-01
1.600000000000000000e+01,8.235000000000000098e-01
1.700000000000000000e+01,8.238333333333333064e-01
1.800000000000000000e+01,8.250833333333332797e-01
1.900000000000000000e+01,8.266666666666666607e-01
2.000000000000000000e+01,8.266666666666666607e-01
