epoch,accuracy
1.000000000000000000e+00,4.640000000000000235e-01
2.000000000000000000e+00,4.998333333333333517e-01
3.000000000000000000e+00,5.122499999999999831e-01
4.000000000000000000e+00,5.344166666666666510e-01
5.000000000000000000e+00,5.631666666666667043e-01
6.000000000000000000e+00,5.568333333333332913e-01
7.000000000000000000e+00,5.725833333333333330e-01
8.000000000000000000e+00,5.697499999999999787e-01
9.000000000000000000e+00,5.877499999999999947e-01
1.000000000000000000e+01,5.926666666666666750e-01
1.100000000000000000e+01,5.973333333333333828e-01
1.200000000000000000e+01,6.018333333333333313e-01
1.300000000000000000e+01,6.018333333333333313e-01
1.400000000000000000e+01,6.203333333333332922e-01
1.500000000000000000e+01,6.175833333333333730e-01
1.600000000000000000e+01,6.101666666666666350e-01
1.700000000000000000e+01,6.192499999999999671e-01
1.800000000000000000e+01,6.222499999999999698e-01
1.900000000000000000e+01,5.765833333333333366e-01
2.000000000000000000e+01,6.208333333333333481e-01
