epoch,accuracy
1.000000000000000000e+00,4.804166666666666585e-01
2.000000000000000000e+00,5.399166666666667114e-01
3.000000000000000000e+00,5.769166666666666332e-01
4.000000000000000000e+00,5.814166666666666927e-01
5.000000000000000000e+00,6.016666666666666829e-01
6.000000000000000000e+00,6.225833333333333774e-01
7.000000000000000000e+00,6.781666666666666954e-01
8.000000000000000000e+00,6.865833333333333233e-01
9.000000000000000000e+00,7.214166666666667060e-01
1.000000000000000000e+01,7.371666666666666368e-01
1.100000000000000000e+01,7.538333333333333552e-01
1.200000000000000000e+01,7.630000000000000115e-01
1.300000000000000000e+01,7.690000000000000169e-01
1.400000000000000000e+01,7.720833333333333437e-01
1.500000000000000000e+01,7.802499999999999991e-01
1.600000000000000000e+01,7.822500000000000009e-01
1.700000000000000000e+01,7.835833333333332984e-01
1.800000000000000000e+01,7.956666666666666332e-01
1.900000000000000000e+01,7.952500000000000124e-01
2.000000000000000000e+01,7.933333333333333348e-01
