epoch,accuracy
1.000000000000000000e+00,4.984166666666666745e-01
2.000000000000000000e+00,5.545833333333333171e-01
3.000000000000000000e+00,5.741666666666667140e-01
4.000000000000000000e+00,5.927499999999999991e-01
5.000000000000000000e+00,6.151666666666666394e-01
6.000000000000000000e+00,6.453333333333333144e-01
7.000000000000000000e+00,6.406666666666667176e-01
8.000000000000000000e+00,6.602500000000000036e-01
9.000000000000000000e+00,6.807499999999999662e-01
1.000000000000000000e+01,6.672500000000000098e-01
1.100000000000000000e+01,6.711666666666666892e-01
1.200000000000000000e+01,6.797499999999999654e-01
1.300000000000000000e+01,6.819166666666666154e-01
1.400000000000000000e+01,6.710833333333333650e-01
1.500000000000000000e+01,6.921666666666667078e-01
1.600000000000000000e+01,6.966666666666666563e-01
1.700000000000000000e+01,6.992500000000000382e-01
1.800000000000000000e+01,7.115000000000000213e-01
1.900000000000000000e+01,7.123333333333333739e-01
2.000000000000000000e+01,7.124166666666666980e-01
