epoch,accuracy
1.000000000000000000e+00,6.618333333333333846e-01
2.000000000000000000e+00,7.040833333333332833e-01
3.000000000000000000e+00,7.303333333333332789e-01
4.000000000000000000e+00,7.508333333333333526e-01
5.000000000000000000e+00,7.664999999999999591e-01
6.000000000000000000e+00,7.782499999999999973e-01
7.000000000000000000e+00,7.863333333333333286e-01
8.000000000000000000e+00,7.957499999999999574e-01
9.000000000000000000e+00,8.025833333333333153e-01
1.000000000000000000e+01,8.077499999999999680e-01
1.100000000000000000e+01,8.099166666666666181e-01
1.200000000000000000e+01,8.177499999999999769e-01
1.300000000000000000e+01,8.167499999999999760e-01
1.400000000000000000e+01,8.231666666666667131e-01
1.500000000000000000e+01,8.235833333333333339e-01
1.600000000000000000e+01,8.252500000000000391e-01
1.700000000000000000e+01,8.235833333333333339e-01
1.800000000000000000e+01,8.287499999999999867e-01
1.900000000000000000e+01,8.306666666666666643e-01
2.000000000000000000e+01,8.299999999999999600e-01
