epoch,accuracy
1.000000000000000000e+00,4.641666666666666718e-01
2.000000000000000000e+00,5.519166666666667220e-01
3.000000000000000000e+00,5.907499999999999973e-01
4.000000000000000000e+00,6.063333333333332797e-01
5.000000000000000000e+00,6.273333333333332984e-01
6.000000000000000000e+00,6.514999999999999680e-01
7.000000000000000000e+00,6.635833333333333028e-01
8.000000000000000000e+00,6.669166666666667131e-01
9.000000000000000000e+00,6.837499999999999689e-01
1.000000000000000000e+01,7.067499999999999893e-01
1.100000000000000000e+01,7.305000000000000382e-01
1.200000000000000000e+01,7.452499999999999680e-01
1.300000000000000000e+01,7.437500000000000222e-01
1.400000000000000000e+01,7.599166666666666847e-01
1.500000000000000000e+01,7.527500000000000302e-01
1.600000000000000000e+01,7.687500000000000444e-01
1.700000000000000000e+01,7.730000000000000204e-01
1.800000000000000000e+01,7.747500000000000497e-01
1.900000000000000000e+01,7.776666666666666172e-01
2.000000000000000000e+01,7.851666666666666794e-01
