epoch,accuracy
1.000000000000000000e+00,3.377499999999999947e-01
2.000000000000000000e+00,3.696666666666666434e-01
3.000000000000000000e+00,4.613333333333333175e-01
4.000000000000000000e+00,4.914166666666666683e-01
5.000000000000000000e+00,5.288333333333333774e-01
6.000000000000000000e+00,5.364166666666666528e-01
7.000000000000000000e+00,5.278333333333333766e-01
8.000000000000000000e+00,3.726666666666666461e-01
9.000000000000000000e+00,3.935000000000000164e-01
1.000000000000000000e+01,5.276666666666666172e-01
1.100000000000000000e+01,5.588333333333332931e-01
1.200000000000000000e+01,5.640833333333333810e-01
1.300000000000000000e+01,5.723333333333333606e-01
1.400000000000000000e+01,5.581666666666666998e-01
1.500000000000000000e+01,5.482500000000000151e-01
1.600000000000000000e+01,5.480833333333333668e-01
1.700000000000000000e+01,5.254166666666666430e-01
1.800000000000000000e+01,5.843333333333333712e-01
1.900000000000000000e+01,5.836666666666666670e-01
2.000000000000000000e+01,5.926666666666666750e-01
