epoch,accuracy
1.000000000000000000e+00,5.982499999999999485e-01
2.000000000000000000e+00,6.609166666666667078e-01
3.000000000000000000e+00,7.002500000000000391e-01
4.000000000000000000e+00,7.320833333333333082e-01
5.000000000000000000e+00,7.587500000000000355e-01
6.000000000000000000e+00,7.704999999999999627e-01
7.000000000000000000e+00,7.762499999999999956e-01
8.000000000000000000e+00,7.845833333333332993e-01
9.000000000000000000e+00,7.919166666666667131e-01
1.000000000000000000e+01,7.943333333333333357e-01
1.100000000000000000e+01,8.028333333333332877e-01
1.200000000000000000e+01,8.047499999999999654e-01
1.300000000000000000e+01,8.073333333333333472e-01
1.400000000000000000e+01,8.103333333333333499e-01
1.500000000000000000e+01,8.121666666666667034e-01
1.600000000000000000e+01,8.169999999999999485e-01
1.700000000000000000e+01,8.199999999999999512e-01
1.800000000000000000e+01,8.224166666666666847e-01
1.900000000000000000e+01,8.252500000000000391e-01
2.000000000000000000e+01,8.295000000000000151e-01
