epoch,accuracy
1.000000000000000000e+00,3.762499999999999734e-01
2.000000000000000000e+00,4.146666666666666834e-01
3.000000000000000000e+00,4.979999999999999982e-01
4.000000000000000000e+00,5.437499999999999556e-01
5.000000000000000000e+00,5.740833333333332789e-01
6.000000000000000000e+00,5.871666666666666146e-01
7.000000000000000000e+00,6.038333333333333330e-01
8.000000000000000000e+00,6.342499999999999805e-01
9.000000000000000000e+00,6.508333333333333748e-01
1.000000000000000000e+01,6.655833333333333046e-01
1.100000000000000000e+01,6.747499999999999609e-01
1.200000000000000000e+01,6.832500000000000240e-01
1.300000000000000000e+01,6.938333333333333020e-01
1.400000000000000000e+01,6.976666666666666572e-01
1.500000000000000000e+01,7.038333333333333108e-01
1.600000000000000000e+01,7.054166666666666918e-01
1.700000000000000000e+01,7.135000000000000231e-01
1.800000000000000000e+01,7.191666666666666208e-01
1.900000000000000000e+01,7.246666666666666812e-01
2.000000000000000000e+01,7.305833333333333623e-01
