epoch,accuracy
1.000000000000000000e+00,5.206666666666667220e-01
2.000000000000000000e+00,5.823333333333333695e-01
3.000000000000000000e+00,6.155000000000000471e-01
4.000000000000000000e+00,6.337500000000000355e-01
5.000000000000000000e+00,6.532499999999999973e-01
6.000000000000000000e+00,6.711666666666666892e-01
7.000000000000000000e+00,6.830000000000000515e-01
8.000000000000000000e+00,6.884166666666666767e-01
9.000000000000000000e+00,6.844166666666666732e-01
1.000000000000000000e+01,6.971666666666667123e-01
1.100000000000000000e+01,7.044166666666666909e-01
1.200000000000000000e+01,7.135000000000000231e-01
1.300000000000000000e+01,7.180833333333332957e-01
1.400000000000000000e+01,7.224166666666667069e-01
1.500000000000000000e+01,7.214166666666667060e-01
1.600000000000000000e+01,7.308333333333333348e-01
1.700000000000000000e+01,7.365833333333333677e-01
1.800000000000000000e+01,7.413333333333332886e-01
1.900000000000000000e+01,7.386666666666666936e-01
2.000000000000000000e+01,7.449166666666666714e-01
