epoch,accuracy
1.000000000000000000e+00,5.629166666666666208e-01
2.000000000000000000e+00,6.045833333333333615e-01
3.000000000000000000e+00,6.468333333333333712e-01
4.000000000000000000e+00,6.655833333333333046e-01
5.000000000000000000e+00,6.706666666666666332e-01
6.000000000000000000e+00,6.847499999999999698e-01
7.000000000000000000e+00,6.854166666666666741e-01
8.000000000000000000e+00,6.860833333333333783e-01
9.000000000000000000e+00,6.906666666666666510e-01
1.000000000000000000e+01,6.946666666666666545e-01
1.100000000000000000e+01,6.953333333333333588e-01
1.200000000000000000e+01,6.990833333333332789e-01
1.300000000000000000e+01,7.018333333333333091e-01
1.400000000000000000e+01,7.039166666666666350e-01
1.500000000000000000e+01,7.071666666666667211e-01
1.600000000000000000e+01,7.020833333333332815e-01
1.700000000000000000e+01,7.181666666666666199e-01
1.800000000000000000e+01,7.214166666666667060e-01
1.900000000000000000e+01,7.170833333333332948e-01
2.000000000000000000e+01,7.134166666666666989e-01
