epoch,accuracy
1.000000000000000000e+00,7.095833333333333437e-01
2.000000000000000000e+00,7.583333333333333037e-01
3.000000000000000000e+00,7.795833333333332948e-01
4.000000000000000000e+00,7.971666666666666901e-01
5.000000000000000000e+00,8.046666666666666412e-01
6.000000000000000000e+00,8.149999999999999467e-01
7.000000000000000000e+00,8.261666666666667158e-01
8.000000000000000000e+00,8.347499999999999920e-01
9.000000000000000000e+00,8.397499999999999964e-01
1.000000000000000000e+01,8.429999999999999716e-01
1.100000000000000000e+01,8.481666666666666243e-01
1.200000000000000000e+01,8.523333333333333872e-01
1.300000000000000000e+01,8.524166666666667114e-01
1.400000000000000000e+01,8.600833333333333108e-01
1.500000000000000000e+01,8.614166666666667194e-01
1.600000000000000000e+01,8.654166666666666119e-01
1.700000000000000000e+01,8.668333333333333446e-01
1.800000000000000000e+01,8.679999999999999938e-01
1.900000000000000000e+01,8.711666666666666448e-01
2.000000000000000000e+01,8.736666666666667025e-01
