epoch,accuracy
1.000000000000000000e+00,6.240833333333333233e-01
2.000000000000000000e+00,6.915833333333333277e-01
3.000000000000000000e+00,7.249999999999999778e-01
4.000000000000000000e+00,7.389999999999999902e-01
5.000000000000000000e+00,7.495000000000000551e-01
6.000000000000000000e+00,7.641666666666666607e-01
7.000000000000000000e+00,7.720000000000000195e-01
8.000000000000000000e+00,7.773333333333333206e-01
9.000000000000000000e+00,7.874999999999999778e-01
1.000000000000000000e+01,7.976666666666666350e-01
1.100000000000000000e+01,8.025833333333333153e-01
1.200000000000000000e+01,8.077499999999999680e-01
1.300000000000000000e+01,8.108333333333332948e-01
1.400000000000000000e+01,8.129999999999999449e-01
1.500000000000000000e+01,8.165000000000000036e-01
1.600000000000000000e+01,8.207499999999999796e-01
1.700000000000000000e+01,8.207499999999999796e-01
1.800000000000000000e+01,8.237499999999999822e-01
1.900000000000000000e+01,8.271666666666667167e-01
2.000000000000000000e+01,8.274166666666666892e-01
