epoch,accuracy
1.000000000000000000e+00,6.120833333333333126e-01
2.000000000000000000e+00,7.182500000000000551e-01
3.000000000000000000e+00,7.668333333333333668e-01
4.000000000000000000e+00,7.844166666666666510e-01
5.000000000000000000e+00,7.970833333333333659e-01
6.000000000000000000e+00,8.074166666666666714e-01
7.000000000000000000e+00,8.167499999999999760e-01
8.000000000000000000e+00,8.225000000000000089e-01
9.000000000000000000e+00,8.278333333333333099e-01
1.000000000000000000e+01,8.322500000000000453e-01
1.100000000000000000e+01,8.383333333333333748e-01
1.200000000000000000e+01,8.407499999999999973e-01
1.300000000000000000e+01,8.427499999999999991e-01
1.400000000000000000e+01,8.453333333333333810e-01
1.500000000000000000e+01,8.516666666666666829e-01
1.600000000000000000e+01,8.501666666666666261e-01
1.700000000000000000e+01,8.533333333333333881e-01
1.800000000000000000e+01,8.545000000000000373e-01
1.900000000000000000e+01,8.595000000000000417e-01
2.000000000000000000e+01,8.588333333333333375e-01
