epoch,accuracy
1.000000000000000000e+00,4.700833333333333530e-01
2.000000000000000000e+00,5.400833333333333597e-01
3.000000000000000000e+00,5.743333333333333623e-01
4.000000000000000000e+00,6.019166666666666554e-01
5.000000000000000000e+00,6.317500000000000338e-01
6.000000000000000000e+00,6.377500000000000391e-01
7.000000000000000000e+00,6.518333333333333757e-01
8.000000000000000000e+00,6.610833333333333561e-01
9.000000000000000000e+00,6.707499999999999574e-01
1.000000000000000000e+01,6.889166666666666217e-01
1.100000000000000000e+01,6.924166666666666803e-01
1.200000000000000000e+01,7.041666666666667185e-01
1.300000000000000000e+01,7.102500000000000480e-01
1.400000000000000000e+01,7.185000000000000275e-01
1.500000000000000000e+01,7.245833333333333570e-01
1.600000000000000000e+01,7.127499999999999947e-01
1.700000000000000000e+01,7.240833333333333011e-01
1.800000000000000000e+01,7.190833333333332966e-01
1.900000000000000000e+01,7.308333333333333348e-01
2.000000000000000000e+01,7.402499999999999636e-01
