epoch,accuracy
1.000000000000000000e+00,5.240000000000000213e-01
2.000000000000000000e+00,5.762500000000000400e-01
3.000000000000000000e+00,6.199166666666666714e-01
4.000000000000000000e+00,6.460833333333333428e-01
5.000000000000000000e+00,6.720833333333333659e-01
6.000000000000000000e+00,6.860833333333333783e-01
7.000000000000000000e+00,7.176666666666666750e-01
8.000000000000000000e+00,7.304166666666667140e-01
9.000000000000000000e+00,7.405000000000000471e-01
1.000000000000000000e+01,7.454166666666666163e-01
1.100000000000000000e+01,7.574166666666666270e-01
1.200000000000000000e+01,7.617500000000000382e-01
1.300000000000000000e+01,7.644999999999999574e-01
1.400000000000000000e+01,7.649166666666666892e-01
1.500000000000000000e+01,7.680000000000000160e-01
1.600000000000000000e+01,7.779166666666667007e-01
1.700000000000000000e+01,7.792499999999999982e-01
1.800000000000000000e+01,7.849166666666667069e-01
1.900000000000000000e+01,7.862500000000000044e-01
2.000000000000000000e+01,7.918333333333332780e-01
