epoch,accuracy
1.000000000000000000e+00,5.921666666666666190e-01
2.000000000000000000e+00,6.395833333333332815e-01
3.000000000000000000e+00,6.708333333333332815e-01
4.000000000000000000e+00,6.913333333333333552e-01
5.000000000000000000e+00,7.127499999999999947e-01
6.000000000000000000e+00,7.197500000000000009e-01
7.000000000000000000e+00,7.268333333333333313e-01
8.000000000000000000e+00,7.318333333333333357e-01
9.000000000000000000e+00,7.313333333333332797e-01
1.000000000000000000e+01,7.373333333333332851e-01
1.100000000000000000e+01,7.500833333333333242e-01
1.200000000000000000e+01,7.568333333333333579e-01
1.300000000000000000e+01,7.575833333333333863e-01
1.400000000000000000e+01,7.621666666666666590e-01
1.500000000000000000e+01,7.634166666666666323e-01
1.600000000000000000e+01,7.585833333333333872e-01
1.700000000000000000e+01,7.524999999999999467e-01
1.800000000000000000e+01,7.569166666666666821e-01
1.900000000000000000e+01,7.567500000000000338e-01
2.000000000000000000e+01,7.594999999999999529e-01
