epoch,accuracy
1.000000000000000000e+00,5.620833333333333792e-01
2.000000000000000000e+00,6.127500000000000169e-01
3.000000000000000000e+00,6.511666666666666714e-01
4.000000000000000000e+00,6.780000000000000471e-01
5.000000000000000000e+00,6.945000000000000062e-01
6.000000000000000000e+00,7.073333333333333695e-01
7.000000000000000000e+00,7.237500000000000044e-01
8.000000000000000000e+00,7.322499999999999565e-01
9.000000000000000000e+00,7.414166666666666128e-01
1.000000000000000000e+01,7.507500000000000284e-01
1.100000000000000000e+01,7.579166666666666829e-01
1.200000000000000000e+01,7.643333333333333091e-01
1.300000000000000000e+01,7.706666666666667220e-01
1.400000000000000000e+01,7.766666666666666163e-01
1.500000000000000000e+01,7.813333333333333242e-01
1.600000000000000000e+01,7.833333333333333259e-01
1.700000000000000000e+01,7.879166666666667096e-01
1.800000000000000000e+01,7.986666666666666359e-01
1.900000000000000000e+01,8.007499999999999618e-01
2.000000000000000000e+01,8.053333333333333455e-01
