epoch,accuracy
1.000000000000000000e+00,4.126666666666666816e-01
2.000000000000000000e+00,4.203333333333333366e-01
3.000000000000000000e+00,4.284999999999999920e-01
4.000000000000000000e+00,4.254166666666666652e-01
5.000000000000000000e+00,4.362500000000000266e-01
6.000000000000000000e+00,4.400000000000000022e-01
7.000000000000000000e+00,4.249166666666666647e-01
8.000000000000000000e+00,4.206666666666666887e-01
9.000000000000000000e+00,4.271666666666666390e-01
1.000000000000000000e+01,4.274999999999999911e-01
1.100000000000000000e+01,4.324999999999999956e-01
1.200000000000000000e+01,4.364999999999999991e-01
1.300000000000000000e+01,4.455000000000000071e-01
1.400000000000000000e+01,4.507499999999999840e-01
1.500000000000000000e+01,4.565000000000000169e-01
1.600000000000000000e+01,4.436666666666666536e-01
1.700000000000000000e+01,4.383333333333333526e-01
1.800000000000000000e+01,4.375000000000000000e-01
1.900000000000000000e+01,4.271666666666666390e-01
2.000000000000000000e+01,4.246666666666666923e-01
