epoch,accuracy
1.000000000000000000e+00,5.666666666666666519e-01
2.000000000000000000e+00,6.316666666666667096e-01
3.000000000000000000e+00,6.693333333333333357e-01
4.000000000000000000e+00,7.107499999999999929e-01
5.000000000000000000e+00,7.309999999999999831e-01
6.000000000000000000e+00,7.479166666666666741e-01
7.000000000000000000e+00,7.599166666666666847e-01
8.000000000000000000e+00,7.688333333333333686e-01
9.000000000000000000e+00,7.782499999999999973e-01
1.000000000000000000e+01,7.844999999999999751e-01
1.100000000000000000e+01,7.850000000000000311e-01
1.200000000000000000e+01,7.924166666666666581e-01
1.300000000000000000e+01,7.937499999999999556e-01
1.400000000000000000e+01,7.983333333333333393e-01
1.500000000000000000e+01,7.984999999999999876e-01
1.600000000000000000e+01,8.079166666666666163e-01
1.700000000000000000e+01,8.101666666666667016e-01
1.800000000000000000e+01,8.130833333333333801e-01
1.900000000000000000e+01,8.155000000000000027e-01
2.000000000000000000e+01,8.199999999999999512e-01
