epoch,accuracy
1.000000000000000000e+00,6.599166666666667069e-01
2.000000000000000000e+00,7.184166666666667034e-01
3.000000000000000000e+00,7.508333333333333526e-01
4.000000000000000000e+00,7.716666666666666119e-01
5.000000000000000000e+00,7.890833333333333588e-01
6.000000000000000000e+00,7.982500000000000151e-01
7.000000000000000000e+00,8.084166666666666723e-01
8.000000000000000000e+00,8.156666666666666510e-01
9.000000000000000000e+00,8.241666666666667140e-01
1.000000000000000000e+01,8.279166666666666341e-01
1.100000000000000000e+01,8.316666666666666652e-01
1.200000000000000000e+01,8.323333333333333695e-01
1.300000000000000000e+01,8.329999999999999627e-01
1.400000000000000000e+01,8.369999999999999662e-01
1.500000000000000000e+01,8.385000000000000231e-01
1.600000000000000000e+01,8.352500000000000480e-01
1.700000000000000000e+01,8.370833333333332904e-01
1.800000000000000000e+01,8.414166666666667016e-01
1.900000000000000000e+01,8.405833333333333490e-01
2.000000000000000000e+01,8.461666666666666226e-01
